Company, Heuresis Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Pb200i,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type, XRF Lead Paint Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Num.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Version, Pb200i-4.1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color
,1,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,8:21:24,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Exterior,Calibration,A,Fascia,,Wood,Deteriorated,,White
,2,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,8:21:45,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Exterior,Calibration,A,Fascia,,Wood,Deteriorated,,White
,3,1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,8:22:06,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Exterior,Calibration,A,Fascia,,Wood,Deteriorated,,White
,4,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:26:29,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,D,Door,,Wood,Deteriorated,,Tan
,5,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:26:46,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,D,Door,Frame,Wood,Deteriorated,,Tan
,6,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:27:08,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,D,Room,Wall,Wood,Intact,,Brown
,7,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:27:28,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,D,Room,Ceiling,Drywall,Intact,,White
,8,-0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:28:10,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,D,Room,Floor,Drywall,Intact,,Grey
,9,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:28:36,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,B,Cabinets,,Wood,Intact,,Brown
,10,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,8:29:14,EI Group,Action Level,Lead Paint,0,0,0,1712 don lee,Apartment / Residential ,Kitchen,C,Window,Sill,Wood,Deteriorated,,Brown
