SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A222997,A222997.01,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Ceiling Panel,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,20,81,,Madelyn Schmidt,
001B,,A222997,A222997.02,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Ceiling Panel,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,20,81,,Madelyn Schmidt,
002A,,A222997,A222997.03A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,White,Homogeneous,30,70,,Madelyn Schmidt,
002A,,A222997,A222997.03B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
002B,,A222997,A222997.04A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,White,Homogeneous,30,70,,Madelyn Schmidt,
002B,,A222997,A222997.04B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
003A,,A222997,A222997.05,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,Brown,Homogeneous,5,95,,Madelyn Schmidt,
003B,,A222997,A222997.06,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,Brown,Homogeneous,5,95,,Madelyn Schmidt,
004A,,A222997,A222997.07,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,Gray,Homogeneous,5,95,,Madelyn Schmidt,
004B,,A222997,A222997.08,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,Gray,Homogeneous,5,95,,Madelyn Schmidt,
005A,,A222997,A222997.09,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Window Caulking,Chrysotile,5,,,,,,,,%,washed with 10% HCI/crushed/milled/sifted/heated/ashed,White,Heterogeneous,,95,,Madelyn Schmidt,
005B,,A222997,A222997.10,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Madelyn Schmidt,
006A,,A222997,A222997.11,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Roofing Silver Paint/ Sealant,,,ND,,,,,,,%,crushed/milled/sifted/heated/ashed/dissolved with solvent,Silver,Homogeneous,7,93,,Madelyn Schmidt,
006B,,A222997,A222997.12,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Roofing Silver Paint/ Sealant,,,ND,,,,,,,%,crushed/milled/sifted/heated/ashed/dissolved with solvent,Silver,Homogeneous,7,93,,Madelyn Schmidt,
