SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223371,A223371.01,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Zane Heinz,
001B,,A223371,A223371.02,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Zane Heinz,
001C,,A223371,A223371.03,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Zane Heinz,
001D,,A223371,A223371.04,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Zane Heinz,
001E,,A223371,A223371.05,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Zane Heinz,
002A,,A223371,A223371.06,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Wallboard/Joint Compound,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,81,,Zane Heinz,
002B,,A223371,A223371.07,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Wallboard/Joint Compound,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,81,,Zane Heinz,
003A,,A223371,A223371.08A,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Vinyl Flooring,Chrysotile,20,,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,5,75,,Zane Heinz,
003A,,A223371,A223371.08B,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Mastic,Chrysotile,2,,,,,,,,%,dissolved with solvent/heated/ashed,Yellow,Homogeneous,,98,Analyst opinion contamination from adjacent vinyl flooring.,Zane Heinz,
003A,,A223371,A223371.09,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Zane Heinz,
004A,,A223371,A223371.10,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Vinyl Flooring,Chrysotile,20,,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,5,75,,Zane Heinz,
004B,,A223371,A223371.11,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Zane Heinz,
005A,,A223371,A223371.12A,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sheet Vinyl,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Tan,Heterogeneous,30,70,,Zane Heinz,
005A,,A223371,A223371.12B,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Yellow,Homogeneous,,100,,Zane Heinz,
005B,,A223371,A223371.13A,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sheet Vinyl,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Tan,Heterogeneous,30,70,,Zane Heinz,
005B,,A223371,A223371.13B,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Yellow,Homogeneous,,100,,Zane Heinz,
006A,,A223371,A223371.14,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Vinyl Flooring,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,30,70,,Zane Heinz,
006B,,A223371,A223371.15,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Vinyl Flooring,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,30,70,,Zane Heinz,
007A,,A223371,A223371.16,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Window Glazing,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Off-white,Heterogeneous,,101,,Zane Heinz,
007B,,A223371,A223371.17,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Window Glazing,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Off-white,Heterogeneous,,101,,Zane Heinz,
008A,,A223371,A223371.18,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,50,50,,Zane Heinz,
008B,,A223371,A223371.19,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,50,50,,Zane Heinz,
