SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223393,A223393.01,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Ceiling Tile,,,ND,,,,,,,%,washed with 10% HCI/heated/ashed/crushed/milled/sifted,White,Heterogeneous,95,5,,Kathryn Wescott,
001B,,A223393,A223393.02,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Ceiling Tile,,,ND,,,,,,,%,washed with 10% HCI/heated/ashed/crushed/milled/sifted,White,Heterogeneous,95,5,,Kathryn Wescott,
002A,,A223393,A223393.03A,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Linoleum,Chrysotile,20,,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Tan,Heterogeneous,30,50,,Kathryn Wescott,
002A,Layer 1,A223393,A223393.03B,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Mastic,Chrysotile,2,,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Brown,Homogeneous,,98,Analyst Opinion Contamination from adjacent positive backing.,Kathryn Wescott,
002A,Layer 2,A223393,A223393.03B,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Backing Material,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Black,Homogeneous,60,40,,Kathryn Wescott,
002B,,A223393,A223393.04,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
003A,,A223393,A223393.05,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Roof Coating,Chrysotile,5,,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Red,Heterogeneous,,95,,Kathryn Wescott,
003B,,A223393,A223393.06,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
004A,Layer 1,A223393,A223393.07,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Black,Heterogeneous,45,55,,Kathryn Wescott,
004A,Layer 2,A223393,A223393.07,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Black,Heterogeneous,45,55,,Kathryn Wescott,
004B,Layer 1,A223393,A223393.08,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Black,Heterogeneous,45,55,,Kathryn Wescott,
004B,Layer 2,A223393,A223393.08,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,Black,Heterogeneous,45,55,,Kathryn Wescott,
006A,,A223393,A223393.09,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Linoleum,Chrysotile,20,,,,,,,,%,heated/ashed/crushed/milled/sifted/dissolved with solvent,,Heterogeneous,30,50,,Kathryn Wescott,
006B,,A223393,A223393.10,Eurofins CEI,PLM Bulk,,5/9/2022,5/11/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
