SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223997,A223997.01,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Black,Heterogeneous,50,50,,Regan Kerns,
001B,,A223997,A223997.02,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Black,Heterogeneous,50,50,,Regan Kerns,
002A,,A223997,A223997.03,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Window Glazing,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Black,Heterogeneous,,101,,Regan Kerns,
002B,,A223997,A223997.04,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Window Glazing,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Black,Heterogeneous,,101,,Regan Kerns,
003A,,A223997,A223997.05,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,White,Heterogeneous,50,50,,Regan Kerns,
003B,,A223997,A223997.06,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,White,Heterogeneous,50,50,,Regan Kerns,
004A,,A223997,A223997.07,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Textured Ceiling,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,White,Heterogeneous,,100,,Regan Kerns,
004B,,A223997,A223997.08,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Textured Ceiling,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,White,Heterogeneous,,100,,Regan Kerns,
004C,,A223997,A223997.09,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Textured Ceiling,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,White,Heterogeneous,,100,,Regan Kerns,
005A,,A223997,A223997.10A,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Linoleum,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Off-white,Heterogeneous,50,50,,Regan Kerns,
005A,,A223997,A223997.10B,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Regan Kerns,
005B,,A223997,A223997.11A,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Linoleum,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Off-white,Heterogeneous,50,50,,Regan Kerns,
005B,,A223997,A223997.11B,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Regan Kerns,
006A,,A223997,A223997.12,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Linoleum,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Tan,Heterogeneous,50,50,,Regan Kerns,
006B,,A223997,A223997.13,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Linoleum,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Tan,Heterogeneous,50,50,,Regan Kerns,
