Company, Heuresis Corp.
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2009
App Version, Pb200i-4.1-11

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,1,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,08:21:24,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,Calibration,A,Fascia,,Wood,Deteriorated,,White,
,2,0.9,mg/cm2,0.2,Negative,false,1.00,false,false,5.00,2022-05-04,08:21:45,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,Calibration,A,Fascia,,Wood,Deteriorated,,White,
,3,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-05-04,08:22:06,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Exterior,Calibration,A,Fascia,,Wood,Deteriorated,,White,
,4,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:26:29,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,D,Door,,Wood,Deteriorated,,Tan,
,5,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:26:46,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,D,Door,Frame,Wood,Deteriorated,,Tan,
,6,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:27:08,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,D,Room,Wall,Wood,Intact,,Brown,
,7,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:27:28,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,D,Room,Ceiling,Drywall,Intact,,White,
,8,-0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:28:10,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,D,Room,Floor,Drywall,Intact,,Grey,
,9,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:28:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,B,Cabinets,,Wood,Intact,,Brown,
,10,-0.2,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-05-04,08:29:14,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,1712 don lee,Apartment / Residential ,Kitchen,C,Window,Sill,Wood,Deteriorated,,Brown,
