SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A224001,A224001.01,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Black,Heterogeneous,50,50,,Regan Kerns,
001B,,A224001,A224001.02,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Roof Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Black,Heterogeneous,50,50,,Regan Kerns,
002A,,A224001,A224001.03,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Textured Ceiling,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Regan Kerns,
002B,,A224001,A224001.04,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Textured Ceiling,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Regan Kerns,
002C,,A224001,A224001.05,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Textured Ceiling,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Regan Kerns,
003A,,A224001,A224001.06A,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Heterogeneous,,100,,Regan Kerns,
003A,,A224001,A224001.06B,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Clear,Homogeneous,,100,,Regan Kerns,
003B,,A224001,A224001.07A,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Heterogeneous,,100,,Regan Kerns,
003B,,A224001,A224001.07B,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Clear,Homogeneous,,100,,Regan Kerns,
004A,,A224001,A224001.08A,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Brown,Heterogeneous,,100,,Regan Kerns,
004A,,A224001,A224001.08B,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Green,Homogeneous,,100,,Regan Kerns,
004B,,A224001,A224001.09A,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Brown,Heterogeneous,,100,,Regan Kerns,
004B,,A224001,A224001.09B,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Green,Homogeneous,,100,,Regan Kerns,
005A,,A224001,A224001.10,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Joint Compound,Chrysotile,2,,,,,,,,%,heated/ashed/dissolved with solvent,Off-white,Heterogeneous,,98,No wallboard present sample appears to be joint compound.,Regan Kerns,
005b,,A224001,A224001.11,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Regan Kerns,
