SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A222996,A222996.01,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,10,90,,Madelyn Schmidt,
001B,,A222996,A222996.02,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Textured Ceiling,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,10,90,,Madelyn Schmidt,
002A,,A222996,A222996.03,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Brown,Homogeneous,30,70,,Madelyn Schmidt,
002B,,A222996,A222996.04,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Brown,Homogeneous,30,70,,Madelyn Schmidt,
003A,,A222996,A222996.05,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Gray,Homogeneous,30,70,,Madelyn Schmidt,
003B,,A222996,A222996.06,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Gray,Homogeneous,30,70,,Madelyn Schmidt,
004A,,A222996,A222996.07,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Beige,Homogeneous,50,50,,Madelyn Schmidt,
004B,,A222996,A222996.08,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Beige,Homogeneous,50,50,,Madelyn Schmidt,
005A,,A222996,A222996.09A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Beige,Homogeneous,30,70,,Madelyn Schmidt,
005A,,A222996,A222996.09B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
005A,,A222996,A222996.09C,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Off-white,Homogeneous,30,70,,Madelyn Schmidt,
005B,,A222996,A222996.10A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Beige,Homogeneous,30,70,,Madelyn Schmidt,
005B,,A222996,A222996.10B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
005B,,A222996,A222996.10C,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Off-white,Homogeneous,30,70,,Madelyn Schmidt,
006A,,A222996,A222996.11,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Tan,Homogeneous,5,95,,Madelyn Schmidt,
006B,,A222996,A222996.12,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Tan,Homogeneous,5,95,,Madelyn Schmidt,
008A,,A222996,A222996.13,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Gypsum Board/Joint Compound,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,81,,Madelyn Schmidt,
008B,,A222996,A222996.14,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Gypsum Board/Joint Compound,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,81,,Madelyn Schmidt,
009A,,A222996,A222996.15,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Window Caulking,Chrysotile,10,,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,White,Heterogeneous,,90,,Madelyn Schmidt,
009B,,A222996,A222996.16,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Madelyn Schmidt,
010A,,A222996,A222996.17,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI/heated/ashed,Brown,Homogeneous,30,70,,Madelyn Schmidt,
