SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223636,A223636.01,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Floor Sheet Vinyl Paper Backing,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Homogeneous,10,90,,Ryan Steele,
001B,,A223636,A223636.02,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Floor Sheet Vinyl Paper Backing,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Homogeneous,10,90,,Ryan Steele,
002A,,A223636,A223636.03,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Textured Ceiling,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
002B,,A223636,A223636.04,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Textured Ceiling,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
002C,,A223636,A223636.05,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Textured Ceiling,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
003A,,A223636,A223636.06A,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Floor Sheet Vinyl Paper Backing,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Gray,Heterogeneous,50,50,,Ryan Steele,
003A,,A223636,A223636.06B,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Homogeneous,,100,,Ryan Steele,
003B,,A223636,A223636.07A,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Floor Sheet Vinyl Paper Backing,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Gray,Heterogeneous,50,50,,Ryan Steele,
003B,,A223636,A223636.07B,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Homogeneous,,100,,Ryan Steele,
005A,,A223636,A223636.08,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Gypsum Wallboard,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,15,85,,Ryan Steele,
005B,,A223636,A223636.09,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Gypsum Wallboard,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,15,85,,Ryan Steele,
005C,,A223636,A223636.10,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Gypsum Wallboard,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,15,85,,Ryan Steele,
006A,,A223636,A223636.11,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Roofing Composite Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Gray,Heterogeneous,30,70,,Ryan Steele,
006B,,A223636,A223636.12,Eurofins CEI,PLM Bulk,,5/11/2022,5/16/2022,Roofing Composite Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Gray,Heterogeneous,30,70,,Ryan Steele,
