SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,Layer 1,A223994,A223994.01,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent/crushed/milled/sifted,Black,Heterogeneous,45,55,,Kathryn Wescott,
001A,Layer 2,A223994,A223994.01,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent/crushed/milled/sifted,Black,Heterogeneous,45,55,,Kathryn Wescott,
001B,Layer 1,A223994,A223994.02,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent/crushed/milled/sifted,Black,Heterogeneous,45,55,,Kathryn Wescott,
001B,Layer 2,A223994,A223994.02,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Shingle,,,ND,,,,,,,%,heated/ashed/dissolved with solvent/crushed/milled/sifted,Black,Heterogeneous,45,55,,Kathryn Wescott,
002A,,A223994,A223994.03,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Window Caulking,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Kathryn Wescott,
002B,,A223994,A223994.04,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Window Caulking,,,ND,,,,,,,%,heated/ashed/crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,100,,Kathryn Wescott,
003A,,A223994,A223994.05,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Window Glazing,Chrysotile,2,,,,,,,,%,heated/ashed/crushed/milled/sifted/washed with 10% HCI,Tan,Heterogeneous,,99,,Kathryn Wescott,
003B,,A223994,A223994.06,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
005A,,A223994,A223994.07,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Wallboard,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,80,,Kathryn Wescott,
005B,,A223994,A223994.08,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Wallboard,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,80,,Kathryn Wescott,
006A,Layer 1,A223994,A223994.09,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Texture,Chrysotile,2,,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,,98,,Kathryn Wescott,
006A,Layer 2,A223994,A223994.09,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Ceiling Panel,,,ND,,,,,,,%,crushed/milled/sifted/washed with 10% HCI,White,Heterogeneous,20,80,,Kathryn Wescott,
006B,,A223994,A223994.10,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
007A,,A223994,A223994.11,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/heated/ashed/dissolved with solvent,Gray,Heterogeneous,,100,,Kathryn Wescott,
007B,,A223994,A223994.12,Eurofins CEI,PLM Bulk,,5/16/2022,5/19/2022,Sheet Vinyl,,,ND,,,,,,,%,crushed/milled/sifted/heated/ashed/dissolved with solvent,Gray,Heterogeneous,,100,,Kathryn Wescott,
