SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223635,A223635.01,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Textured Ceiling,,,ND,,,,,,,%,dissolved with solvent/washed with 10% HCI,Off-white,Heterogeneous,1,100,,Scott Minyard,
001B,,A223635,A223635.02,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Textured Ceiling,,,ND,,,,,,,%,dissolved with solvent/washed with 10% HCI,Off-white,Heterogeneous,1,100,,Scott Minyard,
001C,,A223635,A223635.03,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Textured Ceiling,,,ND,,,,,,,%,dissolved with solvent/washed with 10% HCI,Off-white,Heterogeneous,1,100,,Scott Minyard,
002A,,A223635,A223635.04,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Joint Compound,,,ND,,,,,,,%,dissolved with solvent/washed with 10% HCI,Off-white,Heterogeneous,1,100,No gypsum wallboard present.,Scott Minyard,
002B,,A223635,A223635.05,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Joint Compound,,,ND,,,,,,,%,dissolved with solvent/washed with 10% HCI,Off-white,Heterogeneous,1,100,No gypsum wallboard present.,Scott Minyard,
003A,,A223635,A223635.06A,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Sheet Vinyl,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Off-white,Heterogeneous,35,65,,Scott Minyard,
003A,,A223635,A223635.06B,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Tan,Homogeneous,4,97,,Scott Minyard,
003B,,A223635,A223635.07A,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Sheet Vinyl,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Off-white,Heterogeneous,35,65,,Scott Minyard,
003B,,A223635,A223635.07B,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Tan,Homogeneous,4,97,,Scott Minyard,
004A,,A223635,A223635.08,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Sheet Vinyl,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Brown,Homogeneous,11,90,,Scott Minyard,
004B,,A223635,A223635.09,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Sheet Vinyl,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Brown,Homogeneous,11,90,,Scott Minyard,
005A,,A223635,A223635.10,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Roof Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,26,75,,Scott Minyard,
005B,,A223635,A223635.11,Eurofins CEI,PLM Bulk,,5/11/2022,5/13/2022,Roof Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,26,75,,Scott Minyard,
