SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A220968,A220968.01,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Popcorn Ceiling,Chrysotile,2,,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,98,,Kathryn Wescott,
001B,,A220968,A220968.02,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
001C,,A220968,A220968.03,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Kathryn Wescott,
002A,Layer 1,A220968,A220968.04,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Kathryn Wescott,
002A,Layer 2,A220968,A220968.04,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,1,100,,Kathryn Wescott,
002B,Layer 1,A220968,A220968.05,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Kathryn Wescott,
002B,Layer 2,A220968,A220968.05,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,1,100,,Kathryn Wescott,
002C,Layer 1,A220968,A220968.06,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Kathryn Wescott,
002C,Layer 2,A220968,A220968.06,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,1,100,,Kathryn Wescott,
002D,Layer 1,A220968,A220968.07,Eurofins CEI,PLM Bulk,,4/12/2022,4/15/2022,Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,,100,,Kathryn Wescott,
