SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A222989,A222989.01,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Roof Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,50,50,,Madelyn Schmidt,
001B,,A222989,A222989.02,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Roof Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,50,50,,Madelyn Schmidt,
002A,,A222989,A222989.03,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Window Caulking,Chrysotile,2,,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,Off-white,Heterogeneous,,98,,Madelyn Schmidt,
002B,,A222989,A222989.04,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Madelyn Schmidt,
003A,,A222989,A222989.05,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Ceiling Panel,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,20,81,,Madelyn Schmidt,
003B,,A222989,A222989.06,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Ceiling Panel,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,20,81,,Madelyn Schmidt,
004A,,A222989,A222989.07,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Homogeneous,30,70,,Madelyn Schmidt,
004B,,A222989,A222989.08,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Homogeneous,30,70,,Madelyn Schmidt,
005A,,A222989,A222989.09A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,Blue,Homogeneous,5,95,,Madelyn Schmidt,
005A,Layer 1,A222989,A222989.09B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
005A,Layer 2,A222989,A222989.09B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Backing Material,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI,Off-white,Homogeneous,60,40,,Madelyn Schmidt,
005B,,A222989,A222989.10A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,Blue,Homogeneous,5,95,,Madelyn Schmidt,
005B,Layer 1,A222989,A222989.10B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
005B,Layer 2,A222989,A222989.10B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Backing Material,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI,Off-white,Homogeneous,60,40,,Madelyn Schmidt,
006A,,A222989,A222989.11A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Homogeneous,30,70,,Madelyn Schmidt,
006A,,A222989,A222989.11B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
006B,,A222989,A222989.12A,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Sheet Vinyl,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Homogeneous,30,70,,Madelyn Schmidt,
006B,,A222989,A222989.12B,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Mastic,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Yellow,Homogeneous,,100,,Madelyn Schmidt,
007A,,A222989,A222989.13,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Siding Board,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,95,5,,Madelyn Schmidt,
007B,,A222989,A222989.14,Eurofins CEI,PLM Bulk,,5/4/2022,5/9/2022,Siding Board,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI/crushed/milled/sifted,White,Heterogeneous,95,5,,Madelyn Schmidt,
