SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223155,A223155.01,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Roofing Composite Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Gray,Heterogeneous,30,70,,Ryan Steele,
001B,,A223155,A223155.02,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Roofing Composite Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Gray,Heterogeneous,30,70,,Ryan Steele,
002A,,A223155,A223155.03,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Window Glaze,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI,White,Homogeneous,2,98,,Ryan Steele,
002B,,A223155,A223155.04,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Window Glaze,,,ND,,,,,,,%,heated/ashed/washed with 10% HCI,White,Homogeneous,2,98,,Ryan Steele,
003A,,A223155,A223155.05,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Beige,Heterogeneous,10,90,,Ryan Steele,
003B,,A223155,A223155.06,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,heated/ashed/dissolved with solvent,Beige,Heterogeneous,10,90,,Ryan Steele,
004A,Layer 1,A223155,A223155.07,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
004A,Layer 2,A223155,A223155.07,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,,100,,Ryan Steele,
004B,Layer 1,A223155,A223155.08,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
004B,Layer 2,A223155,A223155.08,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,,100,,Ryan Steele,
004C,Layer 1,A223155,A223155.09,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
004C,Layer 2,A223155,A223155.09,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,,100,,Ryan Steele,
004D,Layer 1,A223155,A223155.10,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Skim Coat,,,ND,,,,,,,%,washed with 10% HCI,White,Heterogeneous,,100,,Ryan Steele,
004D,Layer 2,A223155,A223155.10,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Wall Plaster Base Coat,,,ND,,,,,,,%,washed with 10% HCI/crushed/milled/sifted,Gray,Homogeneous,,100,,Ryan Steele,
004E,,A223155,A223155.11,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Sheetrock,,,ND,,,,,,,%,washed with 10% HCI,Gray,Heterogeneous,15,85,Sample appears to be sheetrock. No plaster present.,Ryan Steele,
005A,,A223155,A223155.12,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Transite,Chrysotile,15,,,,,,,,%,washed with 10% HCI,Gray,Homogeneous,,85,,Ryan Steele,
005B,,A223155,A223155.13,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Ryan Steele,
