Company, Heuresis Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model, Pb200i,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type, XRF Lead Paint Analyzer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Num.,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Version, Pb200i-4.1-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color
,171,1.1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,12:04:03,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue
,172,1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,12:04:23,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue
,173,1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,12:04:44,EI Group,Action Level,Lead Paint,0,0,0,5651,Exterior,Calibration,D,Room,Wall,Vinyl,Intact,,Blue
,174,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:10:01,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom,A,Room,Wall,Drywall,Intact,,Blue
,175,0.3,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:10:26,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom,A,Door,---,Wood,Intact,,White
,176,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:10:43,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom,A,Door,Jamb,Wood,Intact,,White
,177,0.5,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:10:59,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom,A,Door,Frame,Wood,Intact,,White
,178,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:11:21,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom,A,Room,Baseboard,Wood,Intact,,White
,179,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:11:53,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bathroom,C,Tub ,,Ceramic,Intact,,White
,180,0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:16:30,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Kitchen,C,Room,Wall,Drywall,Intact,,White
,181,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:17:12,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Kitchen,B,Window,Sill,Wood,Intact,,White
,182,0.9,mg/cm2,0.2,Negative,FALSE,1,FALSE,FALSE,5,5/4/2022,12:17:29,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Kitchen,B,Window,Sash,Wood,Intact,,White
,183,0.1,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:18:00,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Kitchen,B,Cabinets,,Wood,Intact,,White
,184,0,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:18:28,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Kitchen,C,Window,Frame,Wood,Intact,,White
,185,-0.2,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,2,5/4/2022,12:19:30,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 1,C,Room,Wall,Drywall,Intact,,White
,186,0.6,mg/cm2,0.3,Negative,FALSE,1,FALSE,FALSE,3,5/4/2022,12:20:01,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 1,D,Door,,Wood,Intact,,White
,187,1.1,mg/cm2,0.2,Positive,FALSE,1,FALSE,FALSE,5,5/4/2022,12:20:21,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 1,D,Door,Frame,Wood,Intact,,White
,188,1.5,mg/cm2,0.3,Positive,FALSE,1,FALSE,FALSE,2,5/4/2022,12:21:05,EI Group,Action Level,Lead Paint,0,0,0,5651,Apartment / Residential ,Bedroom 1,D,Window,Sill,Wood,Intact,,White
