SAMP_NO,LAYER,LAB_ORDER_NO,LAB_SAMP_NO,LAB_NAME,TEST,DATE_COLLECTED,DATE_RECEIVED,DATE_ANALYZED,SAMPLE_DESC,ASB_TYPE_1,ASB_AMT_1,ASB_Q_1,ASB_TYPE_2,ASB_AMT_2,ASB_Q_2,ASB_TYPE_3,ASB_AMT_3,ASB_Q_3,ASB_AMT_UNIT,TREATMENT,COLOR,HOMOGENEITY,NON_ASB_FIBROUS,NON_ASB_NONFIBROUS,COMMENT,ANALYST,ASB_PTS_COUNT
001A,,A223156,A223156.01,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Roofing Composite Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,30,70,,Ryan Steele,
001B,,A223156,A223156.02,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Roofing Composite Shingle,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Black,Heterogeneous,30,70,,Ryan Steele,
002A,,A223156,A223156.03,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,50,50,,Ryan Steele,
002B,,A223156,A223156.04,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,50,50,,Ryan Steele,
003A,,A223156,A223156.05,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,White,Heterogeneous,50,50,,Ryan Steele,
003B,,A223156,A223156.06,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,White,Heterogeneous,50,50,,Ryan Steele,
004A,,A223156,A223156.07,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Tan,Heterogeneous,50,50,,Ryan Steele,
004B,,A223156,A223156.08,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Tan,Heterogeneous,50,50,,Ryan Steele,
005A,,A223156,A223156.09,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,50,50,,Ryan Steele,
005B,,A223156,A223156.10,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Beige,Heterogeneous,50,50,,Ryan Steele,
006A,,A223156,A223156.11,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Green,Heterogeneous,50,50,,Ryan Steele,
006B,,A223156,A223156.12,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Green,Heterogeneous,50,50,,Ryan Steele,
007A,,A223156,A223156.13A,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Green,Heterogeneous,50,50,,Ryan Steele,
007A,,A223156,A223156.13B,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Brown,Homogeneous,2,98,,Ryan Steele,
007B,,A223156,A223156.14A,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Linoleum,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Green,Heterogeneous,50,50,,Ryan Steele,
007B,,A223156,A223156.14B,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Mastic,,,ND,,,,,,,%,dissolved with solvent/heated/ashed,Brown,Homogeneous,2,98,,Ryan Steele,
008A,,A223156,A223156.15,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Transite,Chrysotile,15,,,,,,,,%,washed with 10% HCI,Gray,Homogeneous,,85,,Ryan Steele,
008B,,A223156,A223156.16,Eurofins CEI,PLM Bulk,,5/5/2022,5/9/2022,Sample Not Analyzed per COC,,,,,,,,,,%,,,,,,,Ryan Steele,
